Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
07/03/2021;Germany;8103;96;83166711;-47.0;6.0;51.0;-35.0;-6.0;5.0;88.66;86.26;;
07/03/2021;Greece;2301;41;10718565;-67.0;-1.0;7.0;-57.0;-33.0;11.0;70.34;56.54;;
07/03/2021;Hungary;6201;108;9769526;-14.0;14.0;40.0;-14.0;0.0;2.0;52.54;84.36;;
07/03/2021;Ireland;530;14;4964440;-51.0;-3.0;34.0;-58.0;-20.0;9.0;48.88;51.91;;
07/03/2021;Italy;23633;307;59641488;-50.0;-22.0;-11.0;-43.0;-19.0;10.0;57.41;65.42;;
07/03/2021;Latvia;595;7;1907675;-34.0;-7.0;11.0;-43.0;-9.0;3.0;51.77;69.69;;
07/03/2021;Lithuania;464;18;2794090;-58.0;10.0;-15.0;-50.0;-3.0;5.0;75.02;63.59;;
07/03/2021;Luxembourg;210;5;626108;-49.0;0.0;73.0;-27.0;-19.0;4.0;83.05;69.73;;
07/03/2021;Netherlands;5329;41;17407585;-50.0;-4.0;41.0;-44.0;-1.0;5.0;74.95;71.91;;
07/03/2021;Norway;0;0;5367580;-37.0;-2.0;9.0;-43.0;-11.0;4.0;82.76;93.51;;
07/03/2021;Poland;14855;247;37958138;-48.0;-20.0;-16.0;-36.0;-5.0;4.0;65.56;82.43;;
07/03/2021;Portugal;1007;26;10295909;-67.0;-25.0;-44.0;-63.0;-27.0;13.0;33.73;42.35;;
07/03/2021;Romania;4064;69;19328838;-15.0;12.0;2.0;-19.0;-4.0;-2.0;90.98;83.57;;
07/03/2021;Slovakia;5210;74;5457873;-55.0;-8.0;33.0;-45.0;-13.0;6.0;74.68;58.73;;
07/03/2021;Slovenia;921;0;2095861;-61.0;-84.0;51.0;-23.0;-15.0;4.0;104.05;87.71;;
07/03/2021;Spain;0;0;47332614;-45.0;-7.0;-27.0;-37.0;-18.0;7.0;54.86;69.16;;
07/03/2021;Sweden;1451;17;10327589;-26.0;-11.0;18.0;-42.0;-5.0;5.0;79.48;111.12;;
08/03/2021;Austria;2281;9;8901064;-35.0;-1.0;-4.0;-32.0;-26.0;8.0;75.53;86.79;;
08/03/2021;Belgium;3731;36;11522440;-28.0;5.0;26.0;-31.0;-26.0;11.0;97.63;93.85;;
08/03/2021;Bulgaria;497;21;6951482;-11.0;21.0;13.0;4.0;-24.0;0.0;104.88;78.54;;
08/03/2021;Croatia;394;5;4058165;-14.0;21.0;31.0;-18.0;-12.0;1.0;103.14;84.12;;
08/03/2021;Czechia;3960;165;10693939;-50.0;5.0;-24.0;-43.0;-34.0;16.0;44.26;65.37;;
08/03/2021;Denmark;513;2;5822763;-18.0;-5.0;68.0;-42.0;-34.0;10.0;108.4;104.23;;
08/03/2021;Estonia;1180;14;1328976;-11.0;16.0;-3.0;-32.0;-30.0;11.0;79.49;85.36;;
08/03/2021;Finland;511;9;5525292;-26.0;4.0;32.0;-47.0;-35.0;11.0;84.46;97.6;;
08/03/2021;France;3146;130;67320216;-36.0;-4.0;7.0;-27.0;-24.0;8.0;66.29;88.57;;
08/03/2021;Germany;5011;34;83166711;-33.0;-1.0;32.0;-36.0;-27.0;10.0;92.08;88.46;;
08/03/2021;Greece;1142;53;10718565;-50.0;4.0;24.0;-48.0;-34.0;10.0;75.72;65.9;;
08/03/2021;Hungary;2696;115;9769526;-37.0;2.0;0.0;-38.0;-34.0;13.0;51.53;77.52;;
08/03/2021;Ireland;520;3;4964440;-42.0;2.0;16.0;-61.0;-44.0;16.0;41.18;54.25;;
08/03/2021;Italy;20724;207;59641488;-35.0;-4.0;-15.0;-44.0;-27.0;11.0;54.08;69.84;;
08/03/2021;Latvia;322;8;1907675;-23.0;1.0;-10.0;-41.0;-35.0;11.0;58.37;72.28;;
08/03/2021;Lithuania;415;7;2794090;-42.0;31.0;-8.0;-37.0;-31.0;10.0;89.17;81.5;;
08/03/2021;Luxembourg;140;5;626108;-32.0;-3.0;1.0;-28.0;-27.0;11.0;83.92;77.7;;
08/03/2021;Netherlands;4522;30;17407585;-36.0;-3.0;20.0;-49.0;-32.0;11.0;73.35;77.57;;
08/03/2021;Norway;0;0;5367580;-17.0;0.0;16.0;-42.0;-25.0;9.0;91.83;93.01;;
08/03/2021;Poland;13569;126;37958138;-15.0;12.0;-9.0;-31.0;-20.0;6.0;81.32;89.37;;
08/03/2021;Portugal;682;28;10295909;-49.0;4.0;-32.0;-57.0;-41.0;19.0;36.94;54.59;;
08/03/2021;Romania;3288;46;19328838;-14.0;13.0;-16.0;-24.0;-27.0;2.0;100.63;82.92;;
08/03/2021;Slovakia;2696;97;5457873;-47.0;8.0;-7.0;-46.0;-34.0;12.0;78.32;66.99;;
08/03/2021;Slovenia;382;28;2095861;-28.0;9.0;27.0;-21.0;-21.0;6.0;121.56;84.81;;
08/03/2021;Spain;11958;298;47332614;-31.0;-3.0;-15.0;-28.0;-21.0;7.0;58.82;73.12;;
08/03/2021;Sweden;1982;24;10327589;-20.0;-5.0;29.0;-40.0;-32.0;10.0;88.24;98.85;;
09/03/2021;Austria;1965;23;8901064;-40.0;-2.0;-1.0;-33.0;-27.0;9.0;75.98;87.01;;
09/03/2021;Belgium;3434;23;11522440;-33.0;4.0;3.0;-33.0;-26.0;12.0;95.16;94.21;;
09/03/2021;Bulgaria;2995;150;6951482;-29.0;5.0;-11.0;-8.0;-25.0;3.0;99.3;77.62;;
09/03/2021;Croatia;94;19;4058165;-23.0;7.0;11.0;-22.0;-13.0;3.0;99.7;82.05;;
